Index,ExpectedNumberOperator
1,0.4503909284943646
2,0.35726175543194877
3,0.41509814246706744
4,0.6969301783097845
5,0.48883514794818067
6,0.5844883552525899
7,0.4171462165823359
8,0.5035952727578324
9,0.5184131464961319
10,0.5464615733767104
11,0.43532039751165913
12,0.4438087566215099
13,0.4111016538636637
14,0.47106516011293414
15,0.5037468754658568
16,0.5029681660278431
17,0.5335483889975023
18,0.4953518875058902
19,0.5029885111220557
20,0.33344492185838154
21,0.47341249580686146
22,0.3801862022318269
23,0.41935726027186504
24,0.6286267477693955
25,0.5371452106087751
26,0.5465197092439461
27,0.6390370122265577
28,0.6323802714308023
29,0.5090827816747006
30,0.5085737343345024
31,0.42268967797504314
32,0.4662793034215831
33,0.41240972693337785
34,0.635975558507098
35,0.4043846244517811
36,0.46608788212360497
37,0.5309704496997346
38,0.3181595795955706
39,0.6478817849686259
40,0.5789794216209307
41,0.4318200376240922
42,0.4511977528596375
43,0.4770417702931304
44,0.3583537221499803
45,0.49353523482878
46,0.4819372509795851
47,0.41048538044715444
48,0.5027311794390492
49,0.5732549165366599
50,0.4607011083757886
51,0.3128132652465687
52,0.4453884835489332
53,0.49035318618351065
54,0.5870903869937756
55,0.4096613785245987
56,0.47725303401030694
57,0.4326581290362398
58,0.526384273394442
59,0.5003195107841508
60,0.4859682048078058
61,0.4864052937537029
62,0.5984479227840616
63,0.4499213460689246
64,0.4697747143937251
65,0.5710815092525295
66,0.47824669800856145
67,0.42814710152559216
68,0.49290292071472336
69,0.41008841222942016
70,0.5135457362428691
71,0.5749933935594409
72,0.43365335249044923
73,0.4718820674823247
74,0.3520522766998787
75,0.4276943405463035
76,0.41983802589318886
77,0.4836967011304686
78,0.5308669363836616
79,0.45689028604642684
80,0.3232914719178649
81,0.42369314802634317
82,0.6120898286137654
83,0.5285304516534134
84,0.47457206416224484
85,0.4439087732117262
86,0.25805693656195855
87,0.2811210032637982
88,0.3485130513127921
89,0.46258148180691894
90,0.3224486749822897
91,0.5340534973886547
92,0.45688876789651134
93,0.640827349030136
94,0.3312415504879317
95,0.5671553027935231
96,0.3860929671816649
97,0.5854794257210347
98,0.5169041806687162
99,0.6401927961207815
100,0.5517193615544616
101,0.3689500641612424
102,0.5939310725090629
103,0.5757867241643659
104,0.45490237384878324
105,0.6112727886160251
106,0.4052685931480588
107,0.4708255015132093
108,0.6448864135874206
109,0.48641854549653274
110,0.5171538125191897
111,0.3887582925915209
112,0.42775719398482415
113,0.63414738062132
114,0.5084055546888415
115,0.47367696530230613
116,0.38370845027184847
117,0.3932333184815922
118,0.4375670667197555
119,0.5426258616501907
120,0.4763076435890923
121,0.5532756964250918
122,0.4151791677766319
123,0.49678532548281507
124,0.466002671424321
125,0.38765806948699383
126,0.49053799658970193
127,0.44178705915634764
128,0.4333934932344712
129,0.38232774459447383
130,0.503705043290653
131,0.44394015670989934
132,0.3122770390042305
133,0.244389735138519
134,0.4914563979183443
135,0.5362258663764978
136,0.530506754426502
137,0.335336493944195
138,0.5144452444020657
139,0.5526329961896457
140,0.6822881314002271
141,0.4425868562145885
142,0.484749824852896
143,0.5146864280143618
144,0.5642392749254723
145,0.3050541697513552
146,0.43562381092201274
147,0.38930249405790873
148,0.4271692762928401
149,0.3929927344524666
150,0.511095511492367
151,0.5872611219816067
152,0.37335917493107373
153,0.5659794954538382
154,0.387019369208255
155,0.5391832837138437
156,0.46011736676941106
157,0.48906759162917246
158,0.6292721082902732
159,0.4794657351365844
160,0.5859149117094412
161,0.4815652868384583
162,0.3673605549211348
163,0.39535341912150884
164,0.46469067418625837
165,0.4326189791628886
166,0.42614237484091677
167,0.5464012082181888
168,0.5180493001719286
169,0.5249947975656516
170,0.4000407106167981
171,0.35267968394387217
172,0.4006407885842313
173,0.4436843901816223
174,0.43261870733121593
175,0.6675029153094825
176,0.4550096009973272
177,0.4832115838183463
178,0.4751470116159563
179,0.5433573256727035
180,0.39780610698472924
181,0.571789165421708
182,0.39724178139057825
183,0.5759576577727653
184,0.4053480866431729
185,0.546622157206488
186,0.38580623424822885
187,0.5166931285627492
188,0.5406346887972505
189,0.5838798841542642
190,0.5902665573825279
191,0.41081420041314437
192,0.39404633040286907
193,0.5032401483388222
194,0.5974930059855901
195,0.4615788713864519
196,0.46230110423537574
197,0.5102216784088616
198,0.40327417708968816
199,0.6471952388237499
200,0.4541786762993134
201,0.4888676363173559
202,0.5382609625637359
203,0.5150906292597867
204,0.4924794273140959
205,0.4310875647522821
206,0.4125524221316857
207,0.4229850114923601
208,0.4737681067923756
209,0.4547417082226442
210,0.4538765125832266
211,0.5769937358714504
212,0.43851382345635503
213,0.49221215989641487
214,0.5948162849634401
215,0.39737635322437886
216,0.5422709942677314
217,0.5352597584097614
218,0.3228245441846898
219,0.5862577836398813
220,0.5076235723575212
